,Stvarna potrošnja,Random Forest predikcija,LSTM predikcija,Temperatura,Sat,Mjesec,Vikend
2018-03-16 00:00:00,27423.000000000004,28781.430000000004,25976.953755760194,7.0,0,3,0
2018-03-16 01:00:00,25497.0,26623.46,24672.63588485718,6.430000000000007,1,3,0
2018-03-16 02:00:00,24241.0,23270.69333333333,23452.23653841019,6.430000000000007,2,3,0
2018-03-16 03:00:00,23796.0,23220.86,22818.14124298096,6.860000000000014,3,3,0
2018-03-16 04:00:00,23848.0,22569.3,22860.739007759097,6.430000000000007,4,3,0
2018-03-16 05:00:00,24457.999999999996,23667.35,23774.224950599673,6.0,5,3,0
2018-03-16 06:00:00,27295.999999999996,25900.648333333334,25929.482373046878,5.430000000000007,6,3,0
2018-03-16 07:00:00,30934.0,27475.72,28988.434552001956,5.650000000000034,7,3,0
2018-03-16 08:00:00,33518.0,31252.18,31534.924340057376,4.980000000000018,8,3,0
2018-03-16 09:00:00,34691.0,32855.65,32999.53931388855,4.360000000000014,9,3,0
2018-03-16 10:00:00,34920.0,33616.6,33745.39086828232,5.010000000000048,10,3,0
2018-03-16 11:00:00,34837.0,34547.04,34015.698420143126,5.970000000000027,11,3,0
2018-03-16 12:00:00,34651.0,31332.07,33868.70854053497,7.3700000000000045,12,3,0
2018-03-16 13:00:00,34338.0,33717.74,33347.861378097536,8.980000000000018,13,3,0
2018-03-16 14:00:00,33245.0,32848.34,32604.60534267426,9.180000000000007,14,3,0
2018-03-16 15:00:00,32434.0,32858.75,31907.565660095217,8.560000000000002,15,3,0
2018-03-16 16:00:00,31990.0,32054.65,31557.195016002657,8.390000000000043,16,3,0
2018-03-16 17:00:00,31696.0,32196.67,31802.358020019532,8.770000000000039,17,3,0
2018-03-16 18:00:00,31598.0,32226.72,32618.884359550477,8.590000000000032,18,3,0
2018-03-16 19:00:00,33465.0,32766.24,33603.87526292801,8.400000000000034,19,3,0
2018-03-16 20:00:00,34866.0,33065.47,34063.68988332748,7.590000000000032,20,3,0
2018-03-16 21:00:00,34068.0,32053.97,33278.09734420777,7.230000000000018,21,3,0
2018-03-16 22:00:00,31909.0,29941.44333333333,30896.744093322755,6.9500000000000455,22,3,0
2018-03-16 23:00:00,29497.0,27673.21,28070.983300781252,6.650000000000034,23,3,0
2018-03-17 00:00:00,27572.0,25616.25,26172.438087177277,5.650000000000034,0,3,1
2018-03-17 01:00:00,25634.0,24218.4335,24859.8062538147,5.860000000000014,1,3,1
2018-03-17 02:00:00,24440.0,22474.32,23553.81094026566,5.430000000000007,2,3,1
2018-03-17 03:00:00,23750.0,21957.57,22769.61504917145,5.430000000000007,3,3,1
2018-03-17 04:00:00,23277.0,22704.521333333334,22548.785951137546,5.0,4,3,1
2018-03-17 05:00:00,23353.0,21068.99,22877.865037918094,4.430000000000007,5,3,1
2018-03-17 06:00:00,24036.999999999996,24681.61,23882.550631809238,5.430000000000007,6,3,1
2018-03-17 07:00:00,24808.000000000004,29793.77,25689.547032356266,5.300000000000011,7,3,1
2018-03-17 08:00:00,26723.0,30373.45,28024.639979934695,4.5,8,3,1
2018-03-17 09:00:00,29594.0,28300.7,30121.648389625552,4.5,9,3,1
2018-03-17 10:00:00,31249.0,31438.44,31463.021383666994,3.3600000000000136,10,3,1
2018-03-17 11:00:00,31699.0,31720.14,32045.46756076813,3.580000000000041,11,3,1
2018-03-17 12:00:00,31175.0,31635.75,31963.475531578068,2.7900000000000205,12,3,1
2018-03-17 13:00:00,31393.000000000004,31886.14,31383.014450359347,3.7700000000000387,13,3,1
2018-03-17 14:00:00,30682.0,30363.3,30539.754021263125,6.189999999999998,14,3,1
2018-03-17 15:00:00,29529.0,29708.29,29695.23367891312,6.57000000000005,15,3,1
2018-03-17 16:00:00,28725.0,29328.78,29128.761053180697,7.770000000000039,16,3,1
2018-03-17 17:00:00,28650.000000000004,28099.07,29076.091307449344,8.57000000000005,17,3,1
2018-03-17 18:00:00,29025.0,28607.97,29641.34797039032,8.170000000000016,18,3,1
2018-03-17 19:00:00,30539.0,29536.5,30622.197763538363,8.400000000000034,19,3,1
2018-03-17 20:00:00,31888.0,31344.39,31478.660423183443,7.590000000000032,20,3,1
2018-03-17 21:00:00,31615.0,31724.46,31396.814895534517,7.490000000000009,21,3,1
2018-03-17 22:00:00,30256.0,30172.83,29413.374480533603,7.430000000000007,22,3,1
2018-03-17 23:00:00,28147.0,27733.63,26424.14971008301,6.860000000000014,23,3,1
2018-03-18 00:00:00,25968.0,26053.91676190476,24569.735644054414,6.860000000000014,0,3,1
2018-03-18 01:00:00,24055.0,24780.394904761903,23287.45160493851,5.860000000000014,1,3,1
2018-03-18 02:00:00,22580.000000000004,22705.14,22094.538389301302,5.2900000000000205,2,3,1
2018-03-18 03:00:00,21802.0,21423.42,21450.668999385834,5.2900000000000205,3,3,1
2018-03-18 04:00:00,21427.0,21541.371714285713,21359.969895267488,7.0,4,3,1
2018-03-18 05:00:00,21512.0,21738.56,21723.00315589905,5.2900000000000205,5,3,1
2018-03-18 06:00:00,22029.0,22851.54,22525.248036861423,5.2900000000000205,6,3,1
2018-03-18 07:00:00,22134.0,24023.88,23861.44708480835,4.960000000000036,7,3,1
2018-03-18 08:00:00,23412.0,25268.84,25718.735022735596,4.480000000000018,8,3,1
2018-03-18 09:00:00,25873.000000000004,26230.47,27686.175027751924,4.710000000000036,9,3,1
2018-03-18 10:00:00,27680.0,27840.96,29172.862900447846,5.550000000000011,10,3,1
2018-03-18 11:00:00,28490.000000000004,31214.58,29896.141009044648,7.3700000000000045,11,3,1
2018-03-18 12:00:00,28326.000000000004,27773.67,29878.743951034547,8.379999999999995,12,3,1
2018-03-18 13:00:00,28580.0,28478.86,29293.61679573059,9.370000000000005,13,3,1
2018-03-18 14:00:00,28164.0,26960.33,28438.072212409974,10.610000000000014,14,3,1
